Lethargic (8) | SLUGGISH
Ballroom Dance Originally From Germany (5) | WALTZ
Not Circulating Or Flowing (8) | STAGNANT
Spread Malicious Gossip (4, 3, 4) | DISH THE DIRT
Open-mouthed Stare (4) | GAPE
Bad Covering (5) | DUVET
Nymph Of The Wood (5) | DRYAD
Distributed The Cards (5) | DEALT
Free Pardon From Punishment (7) | AMNESTY
Interior Layout And Furnishings (5) | DECOR
High Pitched And Piercing (7) | SHRILL
Edible Bivalve Molluscs (7) | OYSTERS
Able To Read (7) | LEGIBLE
Scandinavian (5) | NORSE
Stun Guns (6) | TASERS
Whatever May Have Happened (2, 3, 4) | AT ANY RATE
Amount Of Money Paid All At Once (4, 2) | LUMP SUM
Russian Parliament (4) | DUMA
Liking For Something (8) | FONDNESS
Be Noticeable (5, 3) | STAND OUT
